Fish_ID,Cohort,Treatment_Level,Experiment_Type,Total_Length,Standard_Length,Height,Weight,DB_Bites,CB_Bites,DE_Bites,CE_Bites,DB_Mass,CB_Mass,DE_Mass,CE_Mass
NL9,1,6,Control,10.5,8.9,4.2,23.72,0,0,12,53,0.12,0.05,0.05,0.06
NL10,2,9,Control,12.3,10.5,5,37.06,0,0,0,0,0.08,0.17,0,-0.01
NL11,2,9,Control,10.7,9.1,4.2,26.21,2,9,0,0,0.12,0.08,-0.06,0.06
NL12,2,9,Control,10.4,8.8,4.1,21.95,1,20,0,9,-0.04,0.11,-0.06,0.51
NL13,3,12,Control,10.3,8.7,4.1,21.23,59,1,25,0,0.32,0.08,0.24,0.01
NL14,3,12,Control,11.1,9.7,4.2,26.75,205,90,28,5,0.54,0.71,0.17,0.18
NL15,3,12,Control,10.3,8.8,4.3,19.86,64,143,22,2,-,0.43,0.21,0.12
NL16,4,6,Control,11.8,10.1,4.8,31.72,55,121,4,14,0.08,0.14,0.04,0.03
NL17,4,6,Control,12.8,10.9,5.1,39.93,0,0,0,0,0.2,0.1,0.09,0.02
NL18,5,9,Control,10.7,9.1,4.2,21.55,9,83,26,156,0.24,0.38,0.23,0.18
NL19,5,9,Control,13.1,11.3,5.2,44.45,40,0,19,0,0.24,0.09,0.03,0.04
NL20,5,9,Control,12.5,10.9,5.2,37.27,0,0,0,0,0.12,0.1,0.16,0.03
NL21,6,6,Control,11.6,9.9,4.7,30.62,36,185,1,0,0.12,1.45,0.05,0
NL22,6,6,Control,11.9,10.1,4.8,32.02,228,69,5,0,0.59,0.21,0,0.2
NL23,6,9,Control,13.9,12,5.3,55.57,5,37,26,0,0.02,NA,0.03,0.04
NL24,7,12,Control,13.2,11.4,5.4,45.42,0,0,0,0,0.41,0.03,0.06,0.04
NL25,7,12,Control,13,11.1,5,38.41,0,0,0,0,0.55,0,0.11,0.04
NL26,7,12,Control,15.3,13.1,6,70.77,63,35,0,15,0.38,0.19,0.15,0.13
NL27,7,12,Control,12,10.2,4.8,31.11,0,0,0,0,0.04,0.01,0.02,0.04
NL28,8,9,Control,12.6,10.8,5.2,40.14,93,75,241,7,0.7,-0.02,0.83,0.25
NL29,8,12,Control,12.7,10.9,5,39.75,181,113,4,110,0.87,0.48,0.12,0.37
NL30,8,12,Control,12.2,10.4,4.9,37.15,0,0,0,0,0.09,0.11,0.09,0.5
NL31,10,6,Control,11.2,9.4,4.8,30.52,122,50,20,9,0.84,0.16,0.03,0.08
NL32,10,6,Control,12.6,10.9,5.1,36.82,10,60,4,70,0.12,0.34,0.05,0.31
NL33,10,6,Control,14.1,11.9,5.7,60.07,20,76,0,3,0.16,1.05,0.03,0.27
NL34,10,6,Control,13.2,11.4,5.6,46.35,273,15,18,21,1.48,0.1,0.1,0.16
NL35,11,12,Control,12.1,10.5,4.9,36.02,270,0,143,32,0.81,0.07,0.34,0.14
NL36,11,12,Control,13.9,12,5.6,52.87,125,47,38,48,0.85,0.13,0.23,0.19
